 A2ADB1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails     816/2076 Selected Drills           2-Jun-2015 14:05
                        816 Nails,  696 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$53        1.250    12.375   1  B10  (B)  #163  5V_HL2           V PIN 5V_HL2.1
$54        0.775     8.175   1  A7   (B)  #598  5V_REF           V VIA .
$55        2.405    12.180   1  B10  (B)  #190  24V_ADC          V VIA .
$60        5.400    12.275   1  E10  (B)  #374  CHRG_N           V PIN P3.27
$61        5.025    11.650   1  E10  (B)  #377  CNV_FLT          V VIA .
$62        6.700    12.275   1  F10  (B)  #550  CNV_OC_FLT       V PIN P3.1
$63        1.575     4.800   1  B4   (B)  #229  CONTROL_555      V VIA .
$64        1.400    10.950   1  B9   (B)  #252  DC_ME            V PIN DC_ME.1
$65        8.900     0.150   1  H1   (B)  #663  DCN_LED_2        V PIN R203.2
$66        8.700     1.150   1  G1   (B)  #668  DCN_LED_4        V PIN R199.2
$67        8.700     0.650   1  G1   (B)  #667  DCN_LED_5        V PIN R199.1
$68        8.600     0.150   1  G1   (B)  #110  DCN_LED_6        V PIN R202.1
$69        3.200    10.500   1  C9   (B)  #547  DCN_U_ME         V PIN R54.2
$70        9.268    11.525   1  H10  (B)  #545  DCP_DIS          V PIN R19.1
$71        3.200    10.925   1  C9   (B)  #544  DCP_U_ME         V PIN R43.1
$72        6.600    12.275   1  F10  (B)  #371  DIO_2C-DEV_FLT   V PIN P3.3
$73        6.500    12.275   1  F10  (B)  #557  DIO_3C-PWM_XP    V PIN P3.5
$74        6.500    12.175   1  F10  (B)  #558  DIO_4C-PWM_XN    V PIN P3.6
$75        6.400    12.275   1  F10  (B)  #559  DIO_5C-PWM_YP    V PIN P3.7
$76        6.400    12.175   1  F10  (B)  #560  DIO_6C-PWM_YN    V PIN P3.8
$77        6.300    12.275   1  F10  (B)  #561  DIO_7C-PWM_ZP    V PIN P3.9
$78        6.300    12.175   1  F10  (B)  #562  DIO_8C-PWM_ZN    V PIN P3.10
$79        1.725     4.850   1  B4   (B)  #230  DISCH_THRES_555  V VIA .
$80        8.150    10.575   1  G9   (B)  #125  DRAIN_RU         V VIA .
$81        8.150     7.225   1  G6   (B)  #130  DRAIN_SV         V VIA .
$82        8.150     3.875   1  G4   (B)  #134  DRAIN_TW         V VIA .
